algorithm,instance,instance_index,seed,operator_type,selection_entropy
ALNS-B,Example12,12,0,repair,1.3058982607822658
ALNS-B,Example12,12,1,destroy,2.1064474694884585
ALNS-B,Example12,12,1,repair,1.0761302839653792
ALNS-B,Example12,12,2,destroy,2.0395824750868132
ALNS-B,Example12,12,2,repair,1.4731084998441744
ALNS-B,Example13,13,0,destroy,1.703161782246058
ALNS-B,Example13,13,0,repair,1.343752133066827
ALNS-B,Example13,13,1,destroy,2.09239547159671
ALNS-B,Example13,13,1,repair,1.355161622109057
ALNS-B,Example13,13,2,destroy,1.9384650060354542
ALNS-B,Example13,13,2,repair,1.23478375688007
ALNS-B,Example14,14,0,destroy,2.3451059141743924
ALNS-B,Example14,14,0,repair,1.5180350357313424
ALNS-B,Example14,14,1,destroy,2.1714190672347082
ALNS-B,Example14,14,1,repair,1.426453274530046
ALNS-B,Example14,14,2,destroy,1.4890720164379005
ALNS-B,Example14,14,2,repair,1.2234220757790693
