algorithm,instance,seed,log_path,final_best_from_log,final_best_contributor_destroy,final_best_contributor_repair,n_iterations_in_log
ALNS-A,Example11,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/11_Example11_seed0.log,49.0,destroy_random_window_20pct,repair_gecode_long,27
ALNS-A,Example11,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/11_Example11_seed1.log,54.0,destroy_max_border_off,repair_gecode_fast,19
ALNS-A,Example11,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/11_Example11_seed2.log,34.0,destroy_max_border_shift_2,repair_gecode_fast,28
ALNS-A,Example12,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/12_Example12_seed0.log,32.0,destroy_max_border_off,repair_chuffed_fast,32
ALNS-A,Example12,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/12_Example12_seed1.log,12.0,destroy_worst_workers_10pct,repair_gecode_fast,32
ALNS-A,Example12,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/12_Example12_seed2.log,35.0,destroy_random_window_20pct,repair_gecode_fast,36
ALNS-A,Example13,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/13_Example13_seed0.log,27.0,destroy_max_border_off,repair_chuffed_fast,27
ALNS-A,Example13,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/13_Example13_seed1.log,40.0,destroy_max_border_off,repair_chuffed_long,25
ALNS-A,Example13,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/13_Example13_seed2.log,23.0,destroy_max_border_off,repair_gecode_fast,21
ALNS-A,Example14,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/14_Example14_seed0.log,5.0,destroy_random_window_20pct,repair_gecode_fast,26
