algorithm,instance,instance_index,operator_type,operator_name,mean_selection_share,mean_improvement_probability,mean_acceptance_rate,mean_improving_delta
ALNS-A,Example9,9,repair,repair_chuffed_fast,0.45291005291005293,0.125,0.16666666666666666,-48.0
ALNS-A,Example9,9,destroy,destroy_worst_workers_30pct,0.07513227513227512,0.0,0.0,nan
ALNS-A,Example9,9,destroy,destroy_exploration,0.0947089947089947,0.5,0.5,-14.0
ALNS-A,Example9,9,repair,repair_exploration,0.0947089947089947,0.5,0.5,-14.0
ALNS-A,Example9,9,repair,repair_gecode_long,0.15555555555555556,0.0,0.16666666666666666,nan
ALNS-A,Example9,9,destroy,destroy_worst_workers_10pct,0.06666666666666667,0.0,1.0,nan
ALNS-A,Example9,9,destroy,destroy_streak_around_worst_worker,0.13333333333333333,0.0,0.0,nan
ALNS-A,Example9,9,destroy,destroy_worst_days_30pct,0.06666666666666667,0.0,0.0,nan
ALNS-A,Example10,10,destroy,destroy_max_border_off,0.14177489177489178,0.8666666666666667,1.0,-20.916666666666668
ALNS-A,Example10,10,repair,repair_chuffed_long,0.1829004329004329,0.2833333333333333,0.3666666666666667,-8.25
ALNS-A,Example10,10,destroy,destroy_random_window_20pct,0.35137085137085133,0.0992063492063492,0.12698412698412698,-88.33333333333334
ALNS-A,Example10,10,repair,repair_gecode_fast,0.3088023088023088,0.27777777777777773,0.3531746031746032,-124.58333333333333
ALNS-A,Example10,10,destroy,destroy_all_forbidden_sequences,0.10173160173160173,0.611111111111111,1.0,-77.33333333333333
ALNS-A,Example10,10,repair,repair_chuffed_fast,0.3445165945165945,0.30211640211640206,0.3867724867724867,-37.71111111111111
ALNS-A,Example10,10,destroy,destroy_random_workers_20pct,0.17532467532467533,0.05555555555555555,0.05555555555555555,-7.0
ALNS-A,Example10,10,repair,repair_gecode_long,0.19300144300144298,0.3055555555555555,0.38888888888888884,-26.833333333333332
ALNS-A,Example10,10,destroy,destroy_max_border_shift_3,0.03571428571428571,0.0,1.0,nan
ALNS-A,Example10,10,destroy,destroy_worst_workers_30pct,0.09956709956709957,0.1,0.1,-293.0
ALNS-A,Example10,10,destroy,destroy_worst_days_30pct,0.09090909090909091,0.0,0.0,nan
ALNS-A,Example10,10,destroy,destroy_random_days_20pct,0.030303030303030304,0.0,0.0,nan
ALNS-A,Example10,10,destroy,destroy_worst_workers_10pct,0.09523809523809523,0.5,1.0,-1.0
ALNS-A,Example10,10,destroy,destroy_max_border_shift_2,0.047619047619047616,1.0,1.0,-48.0
ALNS-A,Example10,10,destroy,destroy_streak_around_worst_worker,0.09523809523809523,0.0,0.0,nan
ALNS-A,Example10,10,destroy,destroy_exploration,0.09523809523809523,0.0,0.0,nan
