instance,instance_index,algorithm,seed,objective,runtime_seconds,gap_to_cp,status,timeout_hit,solver_name,log_path,source_summary
Example4,4,ALNS-B,0,2.0,187.96474787199986,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/04_Example4_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example4,4,ALNS-B,1,4.0,201.17857759899925,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/04_Example4_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example4,4,ALNS-B,2,3.0,208.15014542802237,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/04_Example4_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example5,5,ALNS-A,0,6.0,180.32166220000363,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/05_Example5_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example5,5,ALNS-A,1,2.0,181.5178936299926,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/05_Example5_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example5,5,ALNS-A,2,6.0,181.62007866200292,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/05_Example5_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example5,5,ALNS-B,0,5.0,194.67973082800745,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/05_Example5_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example5,5,ALNS-B,1,3.0,183.09596279199468,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/05_Example5_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example5,5,ALNS-B,2,5.0,185.12607244198443,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/05_Example5_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example6,6,ALNS-A,0,1.0,181.03756762400735,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/06_Example6_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
