algorithm,instance,instance_index,seed,iteration,elapsed,step_runtime,operator_type,operator_name,objective_before,objective_after,delta_objective,accepted,repair_failed,used_exploration
ALNS-A,Example0,0,2,9,38.001,15.426,repair,repair_chuffed_long,6.0,11.0,5.0,False,False,False
ALNS-A,Example0,0,2,10,38.575,0.573,destroy,destroy_random_window_20pct,6.0,5.0,-1.0,True,False,False
ALNS-A,Example0,0,2,10,38.575,0.573,repair,repair_gecode_fast,6.0,5.0,-1.0,True,False,False
ALNS-A,Example0,0,2,11,39.355,0.78,destroy,destroy_random_window_20pct,5.0,4.0,-1.0,True,False,False
ALNS-A,Example0,0,2,11,39.355,0.78,repair,repair_gecode_fast,5.0,4.0,-1.0,True,False,False
ALNS-A,Example0,0,2,12,40.856,1.5,destroy,destroy_streak_around_worst_worker,4.0,1.0,-3.0,True,False,False
ALNS-A,Example0,0,2,12,40.856,1.5,repair,repair_gecode_fast,4.0,1.0,-3.0,True,False,False
ALNS-A,Example0,0,2,13,41.347,0.491,destroy,destroy_all_forbidden_sequences,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,2,13,41.347,0.491,repair,repair_chuffed_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,2,14,41.999,0.653,destroy,destroy_random_workers_20pct,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,2,14,41.999,0.653,repair,repair_gecode_fast,1.0,1.0,0.0,True,False,False
ALNS-A,Example0,0,2,15,42.664,0.665,destroy,destroy_random_workers_20pct,1.0,0.0,-1.0,True,False,False
ALNS-A,Example0,0,2,15,42.664,0.665,repair,repair_chuffed_fast,1.0,0.0,-1.0,True,False,False
ALNS-A,Example1,1,0,1,0.911,0.911,destroy,destroy_streak_around_worst_worker,inf,20.0,nan,True,False,False
ALNS-A,Example1,1,0,1,0.911,0.911,repair,repair_chuffed_long,inf,20.0,nan,True,False,False
ALNS-A,Example1,1,0,2,16.393,15.482,destroy,destroy_worst_days_30pct,20.0,35.0,15.0,False,False,False
ALNS-A,Example1,1,0,2,16.393,15.482,repair,repair_chuffed_long,20.0,35.0,15.0,False,False,False
ALNS-A,Example1,1,0,3,17.89,1.497,destroy,destroy_random_days_20pct,20.0,15.0,-5.0,True,False,False
ALNS-A,Example1,1,0,3,17.89,1.497,repair,repair_chuffed_long,20.0,15.0,-5.0,True,False,False
ALNS-A,Example1,1,0,4,30.548,12.659,destroy,destroy_all_forbidden_sequences,15.0,9.0,-6.0,True,False,False
ALNS-A,Example1,1,0,4,30.548,12.659,repair,repair_chuffed_long,15.0,9.0,-6.0,True,False,False
ALNS-A,Example1,1,0,5,31.232,0.684,destroy,destroy_random_window_20pct,9.0,9.0,0.0,True,False,False
ALNS-A,Example1,1,0,5,31.232,0.684,repair,repair_chuffed_long,9.0,9.0,0.0,True,False,False
ALNS-A,Example1,1,0,6,46.688,15.456,destroy,destroy_worst_days_30pct,9.0,42.0,33.0,False,False,False
ALNS-A,Example1,1,0,6,46.688,15.456,repair,repair_chuffed_long,9.0,42.0,33.0,False,False,False
ALNS-A,Example1,1,0,7,47.439,0.751,destroy,destroy_random_workers_20pct,9.0,9.0,0.0,True,False,False
ALNS-A,Example1,1,0,7,47.439,0.751,repair,repair_chuffed_fast,9.0,9.0,0.0,True,False,False
