algorithm,instance,seed,iteration,elapsed,best_so_far_objective
ALNS-A,Example1,2,41,58.23,3.0
ALNS-A,Example1,2,42,61.653,3.0
ALNS-A,Example1,2,43,65.067,3.0
ALNS-A,Example1,2,44,66.086,3.0
ALNS-A,Example1,2,45,69.524,3.0
ALNS-A,Example1,2,46,71.367,3.0
ALNS-A,Example1,2,47,75.783,3.0
ALNS-A,Example1,2,48,76.436,3.0
ALNS-A,Example1,2,49,79.187,3.0
ALNS-A,Example1,2,50,79.751,3.0
ALNS-A,Example1,2,51,82.36,3.0
ALNS-A,Example1,2,52,85.772,3.0
ALNS-A,Example1,2,53,89.201,3.0
ALNS-A,Example1,2,54,90.088,3.0
ALNS-A,Example1,2,55,92.361,3.0
ALNS-A,Example1,2,56,93.028,3.0
ALNS-A,Example1,2,57,95.155,3.0
ALNS-A,Example1,2,58,96.922,3.0
ALNS-A,Example1,2,59,112.388,3.0
ALNS-A,Example1,2,60,114.45,3.0
ALNS-A,Example1,2,61,122.808,3.0
ALNS-A,Example1,2,62,123.489,3.0
ALNS-A,Example1,2,63,128.847,3.0
ALNS-A,Example1,2,64,132.274,3.0
ALNS-A,Example1,2,65,136.078,3.0
ALNS-A,Example1,2,66,136.902,3.0
ALNS-A,Example1,2,67,137.538,3.0
ALNS-A,Example1,2,68,138.167,3.0
ALNS-A,Example1,2,69,139.835,2.0
ALNS-A,Example1,2,70,141.04,2.0
ALNS-A,Example1,2,71,142.656,2.0
ALNS-A,Example1,2,72,143.935,2.0
ALNS-A,Example1,2,73,144.958,2.0
ALNS-A,Example1,2,74,145.772,1.0
ALNS-A,Example1,2,75,152.942,1.0
ALNS-A,Example1,2,76,154.115,1.0
ALNS-A,Example1,2,77,156.078,0.0
ALNS-A,Example2,0,1,0.997,61.0
ALNS-A,Example2,0,2,16.611,60.0
ALNS-A,Example2,0,3,17.206,47.0
ALNS-A,Example2,0,4,17.797,39.0
ALNS-A,Example2,0,5,21.486,21.0
ALNS-A,Example2,0,6,23.724,5.0
ALNS-A,Example2,0,7,24.816,4.0
ALNS-A,Example2,0,8,31.487,3.0
ALNS-A,Example2,0,9,32.186,2.0
ALNS-A,Example2,0,10,32.936,1.0
ALNS-A,Example2,0,11,34.087,1.0
ALNS-A,Example2,0,12,34.904,1.0
ALNS-A,Example2,0,13,35.569,1.0
ALNS-A,Example2,0,14,39.054,1.0
ALNS-A,Example2,0,15,39.815,1.0
ALNS-A,Example2,0,16,41.772,1.0
ALNS-A,Example2,0,17,42.658,1.0
ALNS-A,Example2,0,18,43.681,1.0
ALNS-A,Example2,0,19,58.002,1.0
ALNS-A,Example2,0,20,61.613,1.0
ALNS-A,Example2,0,21,62.37,1.0
ALNS-A,Example2,0,22,63.383,1.0
ALNS-A,Example2,0,23,66.085,1.0
ALNS-A,Example2,0,24,66.78,1.0
ALNS-A,Example2,0,25,67.442,1.0
ALNS-A,Example2,0,26,68.342,1.0
ALNS-A,Example2,0,27,69.434,1.0
ALNS-A,Example2,0,28,70.165,1.0
ALNS-A,Example2,0,29,73.631,1.0
ALNS-A,Example2,0,30,75.565,1.0
ALNS-A,Example2,0,31,77.299,1.0
ALNS-A,Example2,0,32,78.111,1.0
ALNS-A,Example2,0,33,79.16,1.0
ALNS-A,Example2,0,34,81.428,1.0
ALNS-A,Example2,0,35,83.167,1.0
ALNS-A,Example2,0,36,84.159,1.0
ALNS-A,Example2,0,37,85.126,1.0
ALNS-A,Example2,0,38,85.872,1.0
ALNS-A,Example2,0,39,88.68,0.0
ALNS-A,Example2,1,1,0.852,64.0
ALNS-A,Example2,1,2,1.985,50.0
ALNS-A,Example2,1,3,2.69,40.0
ALNS-A,Example2,1,4,6.171,40.0
ALNS-A,Example2,1,5,7.188,30.0
ALNS-A,Example2,1,6,22.842,30.0
ALNS-A,Example2,1,7,23.717,28.0
ALNS-A,Example2,1,8,27.167,21.0
ALNS-A,Example2,1,9,28.251,6.0
ALNS-A,Example2,1,10,28.992,4.0
ALNS-A,Example2,1,11,29.626,4.0
ALNS-A,Example2,1,12,30.387,4.0
ALNS-A,Example2,1,13,33.843,4.0
ALNS-A,Example2,1,14,37.296,3.0
ALNS-A,Example2,1,15,38.025,3.0
ALNS-A,Example2,1,16,40.333,3.0
ALNS-A,Example2,1,17,41.111,3.0
ALNS-A,Example2,1,18,41.839,3.0
ALNS-A,Example2,1,19,45.349,3.0
ALNS-A,Example2,1,20,46.536,3.0
ALNS-A,Example2,1,21,50.096,3.0
ALNS-A,Example2,1,22,51.248,1.0
ALNS-A,Example2,1,23,52.179,1.0
ALNS-A,Example2,1,24,53.393,1.0
ALNS-A,Example2,1,25,55.481,1.0
ALNS-A,Example2,1,26,57.295,1.0
ALNS-A,Example2,1,27,57.904,1.0
ALNS-A,Example2,1,28,62.759,1.0
ALNS-A,Example2,1,29,63.811,1.0
ALNS-A,Example2,1,30,64.632,1.0
ALNS-A,Example2,1,31,65.602,1.0
ALNS-A,Example2,1,32,66.38,1.0
ALNS-A,Example2,1,33,67.261,1.0
ALNS-A,Example2,1,34,68.069,1.0
ALNS-A,Example2,1,35,69.005,1.0
ALNS-A,Example2,1,36,71.217,1.0
ALNS-A,Example2,1,37,72.437,1.0
ALNS-A,Example2,1,38,73.092,1.0
ALNS-A,Example2,1,39,73.813,1.0
ALNS-A,Example2,1,40,74.492,1.0
ALNS-A,Example2,1,41,77.881,1.0
ALNS-A,Example2,1,42,79.028,1.0
ALNS-A,Example2,1,43,106.896,1.0
ALNS-A,Example2,1,44,108.097,1.0
ALNS-A,Example2,1,45,108.704,1.0
ALNS-A,Example2,1,46,110.31,1.0
ALNS-A,Example2,1,47,110.919,1.0
ALNS-A,Example2,1,48,111.573,1.0
ALNS-A,Example2,1,49,112.488,1.0
ALNS-A,Example2,1,50,113.487,1.0
ALNS-A,Example2,1,51,114.715,1.0
ALNS-A,Example2,1,52,115.336,1.0
ALNS-A,Example2,1,53,116.513,1.0
ALNS-A,Example2,1,54,117.1,1.0
ALNS-A,Example2,1,55,118.039,1.0
ALNS-A,Example2,1,56,118.635,1.0
ALNS-A,Example2,1,57,119.712,1.0
ALNS-A,Example2,1,58,120.359,1.0
ALNS-A,Example2,1,59,120.977,1.0
ALNS-A,Example2,1,60,121.721,1.0
ALNS-A,Example2,1,61,122.75,1.0
ALNS-A,Example2,1,62,123.68,1.0
ALNS-A,Example2,1,63,124.515,1.0
ALNS-A,Example2,1,64,125.244,1.0
ALNS-A,Example2,1,65,126.017,1.0
ALNS-A,Example2,1,66,126.582,1.0
ALNS-A,Example2,1,67,127.15,1.0
ALNS-A,Example2,1,68,129.974,1.0
ALNS-A,Example2,1,69,130.755,1.0
ALNS-A,Example2,1,70,132.342,1.0
ALNS-A,Example2,1,71,132.958,1.0
ALNS-A,Example2,1,72,148.39,1.0
ALNS-A,Example2,1,73,148.96,1.0
ALNS-A,Example2,1,74,149.604,1.0
ALNS-A,Example2,1,75,150.22,1.0
ALNS-A,Example2,1,76,151.035,1.0
ALNS-A,Example2,1,77,152.043,1.0
ALNS-A,Example2,1,78,152.648,1.0
ALNS-A,Example2,1,79,153.209,1.0
ALNS-A,Example2,1,80,153.883,1.0
ALNS-A,Example2,1,81,154.979,1.0
ALNS-A,Example2,1,82,155.603,1.0
ALNS-A,Example2,1,83,156.213,1.0
ALNS-A,Example2,1,84,157.138,1.0
ALNS-A,Example2,1,85,158.109,1.0
ALNS-A,Example2,1,86,161.542,1.0
ALNS-A,Example2,1,87,162.534,1.0
ALNS-A,Example2,1,88,165.972,1.0
ALNS-A,Example2,1,89,166.681,1.0
ALNS-A,Example2,1,90,167.737,1.0
ALNS-A,Example2,1,91,169.442,1.0
ALNS-A,Example2,1,92,172.036,1.0
ALNS-A,Example2,1,93,177.244,1.0
ALNS-A,Example2,1,94,178.469,1.0
ALNS-A,Example2,1,95,179.84,1.0
ALNS-A,Example2,1,96,180.752,1.0
ALNS-A,Example2,2,1,0.844,63.0
ALNS-A,Example2,2,2,4.523,57.0
ALNS-A,Example2,2,3,5.389,47.0
ALNS-A,Example2,2,4,6.029,47.0
ALNS-A,Example2,2,5,6.902,44.0
ALNS-A,Example2,2,6,7.999,26.0
ALNS-A,Example2,2,7,9.966,15.0
ALNS-A,Example2,2,8,11.707,15.0
ALNS-A,Example2,2,9,12.322,14.0
ALNS-A,Example2,2,10,12.924,13.0
ALNS-A,Example2,2,11,13.475,13.0
ALNS-A,Example2,2,12,13.975,13.0
ALNS-A,Example2,2,13,15.349,3.0
ALNS-A,Example2,2,14,16.057,3.0
ALNS-A,Example2,2,15,17.031,2.0
ALNS-A,Example2,2,16,17.724,2.0
ALNS-A,Example2,2,17,18.423,2.0
ALNS-A,Example2,2,18,20.552,2.0
ALNS-A,Example2,2,19,27.773,1.0
ALNS-A,Example2,2,20,28.809,1.0
ALNS-A,Example2,2,21,29.685,1.0
ALNS-A,Example2,2,22,30.584,1.0
ALNS-A,Example2,2,23,32.727,1.0
ALNS-A,Example2,2,24,33.727,1.0
ALNS-A,Example2,2,25,34.341,1.0
ALNS-A,Example2,2,26,35.273,1.0
ALNS-A,Example2,2,27,35.956,1.0
ALNS-A,Example2,2,28,36.515,1.0
ALNS-A,Example2,2,29,37.186,1.0
ALNS-A,Example2,2,30,37.847,1.0
ALNS-A,Example2,2,31,38.663,1.0
ALNS-A,Example2,2,32,39.479,1.0
ALNS-A,Example2,2,33,40.494,1.0
ALNS-A,Example2,2,34,41.333,1.0
ALNS-A,Example2,2,35,41.919,1.0
ALNS-A,Example2,2,36,42.774,1.0
ALNS-A,Example2,2,37,43.44,1.0
ALNS-A,Example2,2,38,44.498,1.0
ALNS-A,Example2,2,39,45.231,1.0
ALNS-A,Example2,2,40,45.84,1.0
ALNS-A,Example2,2,41,46.478,1.0
ALNS-A,Example2,2,42,47.291,1.0
ALNS-A,Example2,2,43,48.382,1.0
ALNS-A,Example2,2,44,51.832,1.0
ALNS-A,Example2,2,45,52.786,1.0
ALNS-A,Example2,2,46,53.977,1.0
ALNS-A,Example2,2,47,54.653,1.0
ALNS-A,Example2,2,48,55.221,1.0
ALNS-A,Example2,2,49,56.177,1.0
ALNS-A,Example2,2,50,57.016,1.0
ALNS-A,Example2,2,51,70.68,1.0
ALNS-A,Example2,2,52,72.06,1.0
ALNS-A,Example2,2,53,73.503,1.0
ALNS-A,Example2,2,54,74.33,1.0
ALNS-A,Example2,2,55,76.758,1.0
ALNS-A,Example2,2,56,77.851,1.0
ALNS-A,Example2,2,57,78.651,1.0
ALNS-A,Example2,2,58,80.159,1.0
ALNS-A,Example2,2,59,80.809,1.0
ALNS-A,Example2,2,60,81.529,1.0
ALNS-A,Example2,2,61,82.51,1.0
ALNS-A,Example2,2,62,83.112,1.0
ALNS-A,Example2,2,63,83.735,1.0
ALNS-A,Example2,2,64,86.825,1.0
ALNS-A,Example2,2,65,88.5,1.0
ALNS-A,Example2,2,66,89.279,1.0
ALNS-A,Example2,2,67,91.081,1.0
ALNS-A,Example2,2,68,92.611,1.0
ALNS-A,Example2,2,69,93.22,1.0
ALNS-A,Example2,2,70,94.481,1.0
ALNS-A,Example2,2,71,95.855,1.0
ALNS-A,Example2,2,72,96.536,1.0
ALNS-A,Example2,2,73,97.225,0.0
ALNS-A,Example3,0,1,1.019,162.0
ALNS-A,Example3,0,2,4.737,41.0
ALNS-A,Example3,0,3,20.21,41.0
ALNS-A,Example3,0,4,23.869,41.0
ALNS-A,Example3,0,5,27.637,41.0
ALNS-A,Example3,0,6,31.244,41.0
ALNS-A,Example3,0,7,46.685,41.0
ALNS-A,Example3,0,8,62.223,41.0
ALNS-A,Example3,0,9,77.654,41.0
ALNS-A,Example3,0,10,81.253,41.0
ALNS-A,Example3,0,11,84.686,41.0
ALNS-A,Example3,0,12,88.254,41.0
ALNS-A,Example3,0,13,138.919,41.0
ALNS-A,Example3,0,14,189.589,41.0
ALNS-A,Example3,1,1,1.036,162.0
ALNS-A,Example3,1,2,4.862,76.0
ALNS-A,Example3,1,3,8.408,40.0
ALNS-A,Example3,1,4,9.397,26.0
ALNS-A,Example3,1,5,13.141,26.0
ALNS-A,Example3,1,6,16.691,26.0
ALNS-A,Example3,1,7,20.494,26.0
ALNS-A,Example3,1,8,23.969,26.0
ALNS-A,Example3,1,9,39.693,26.0
ALNS-A,Example3,1,10,55.295,26.0
ALNS-A,Example3,1,11,58.732,26.0
ALNS-A,Example3,1,12,74.442,26.0
ALNS-A,Example3,1,13,77.904,26.0
ALNS-A,Example3,1,14,78.873,24.0
ALNS-A,Example3,1,15,82.447,24.0
ALNS-A,Example3,1,16,83.519,21.0
ALNS-A,Example3,1,17,87.291,21.0
ALNS-A,Example3,1,18,90.76,21.0
ALNS-A,Example3,1,19,94.354,21.0
ALNS-A,Example3,1,20,109.826,21.0
ALNS-A,Example3,1,21,125.333,21.0
ALNS-A,Example3,1,22,141.032,21.0
ALNS-A,Example3,1,23,141.983,21.0
ALNS-A,Example3,1,24,145.549,21.0
ALNS-A,Example3,1,25,149.279,21.0
ALNS-A,Example3,1,26,149.896,20.0
ALNS-A,Example3,1,27,153.56,20.0
ALNS-A,Example3,1,28,156.998,20.0
ALNS-A,Example3,1,29,160.713,20.0
ALNS-A,Example3,1,30,164.454,20.0
ALNS-A,Example3,1,31,168.154,20.0
ALNS-A,Example3,1,32,183.753,20.0
ALNS-A,Example3,2,1,1.117,163.0
ALNS-A,Example3,2,2,2.002,162.0
ALNS-A,Example3,2,3,5.446,38.0
ALNS-A,Example3,2,4,8.863,36.0
ALNS-A,Example3,2,5,12.404,36.0
ALNS-A,Example3,2,6,13.713,22.0
ALNS-A,Example3,2,7,29.188,22.0
ALNS-A,Example3,2,8,32.916,22.0
ALNS-A,Example3,2,9,36.343,22.0
ALNS-A,Example3,2,10,37.303,18.0
ALNS-A,Example3,2,11,37.967,18.0
ALNS-A,Example3,2,12,41.392,18.0
ALNS-A,Example3,2,13,44.236,18.0
ALNS-A,Example3,2,14,44.862,18.0
ALNS-A,Example3,2,15,48.326,18.0
ALNS-A,Example3,2,16,50.37,15.0
ALNS-A,Example3,2,17,66.084,15.0
ALNS-A,Example3,2,18,69.555,15.0
ALNS-A,Example3,2,19,70.868,14.0
ALNS-A,Example3,2,20,74.431,14.0
ALNS-A,Example3,2,21,75.335,14.0
ALNS-A,Example3,2,22,75.941,14.0
ALNS-A,Example3,2,23,79.408,14.0
ALNS-A,Example3,2,24,82.947,14.0
ALNS-A,Example3,2,25,86.559,14.0
ALNS-A,Example3,2,26,90.008,14.0
ALNS-A,Example3,2,27,93.441,14.0
ALNS-A,Example3,2,28,108.871,14.0
ALNS-A,Example3,2,29,112.435,14.0
ALNS-A,Example3,2,30,154.677,14.0
ALNS-A,Example3,2,31,205.571,14.0
ALNS-A,Example4,0,1,2.271,19.0
ALNS-A,Example4,0,2,3.296,17.0
ALNS-A,Example4,0,3,18.718,11.0
ALNS-A,Example4,0,4,22.177,10.0
ALNS-A,Example4,0,5,37.634,10.0
ALNS-A,Example4,0,6,38.625,8.0
ALNS-A,Example4,0,7,42.044,8.0
ALNS-A,Example4,0,8,42.649,8.0
ALNS-A,Example4,0,9,43.999,8.0
ALNS-A,Example4,0,10,59.454,8.0
ALNS-A,Example4,0,11,61.306,8.0
ALNS-A,Example4,0,12,64.059,7.0
ALNS-A,Example4,0,13,65.328,6.0
ALNS-A,Example4,0,14,65.908,6.0
ALNS-A,Example4,0,15,66.876,6.0
ALNS-A,Example4,0,16,70.374,6.0
ALNS-A,Example4,0,17,73.816,6.0
ALNS-A,Example4,0,18,76.569,6.0
ALNS-A,Example4,0,19,80.044,6.0
ALNS-A,Example4,0,20,95.543,6.0
ALNS-A,Example4,0,21,99.001,6.0
ALNS-A,Example4,0,22,102.433,6.0
ALNS-A,Example4,0,23,105.851,6.0
ALNS-A,Example4,0,24,121.239,4.0
ALNS-A,Example4,0,25,123.453,4.0
ALNS-A,Example4,0,26,124.017,4.0
ALNS-A,Example4,0,27,139.5,4.0
ALNS-A,Example4,0,28,154.999,4.0
ALNS-A,Example4,0,29,158.539,4.0
ALNS-A,Example4,0,30,161.977,4.0
ALNS-A,Example4,0,31,165.489,4.0
ALNS-A,Example4,0,32,166.063,4.0
ALNS-A,Example4,0,33,166.967,3.0
ALNS-A,Example4,0,34,167.771,3.0
ALNS-A,Example4,0,35,169.09,3.0
ALNS-A,Example4,0,36,169.764,3.0
ALNS-A,Example4,0,37,170.476,3.0
ALNS-A,Example4,0,38,173.91,3.0
ALNS-A,Example4,0,39,177.343,3.0
ALNS-A,Example4,0,40,192.837,3.0
ALNS-A,Example4,1,1,3.622,24.0
ALNS-A,Example4,1,2,7.279,24.0
ALNS-A,Example4,1,3,8.354,16.0
ALNS-A,Example4,1,4,8.939,10.0
ALNS-A,Example4,1,5,9.707,7.0
ALNS-A,Example4,1,6,13.245,7.0
