algorithm,instance,instance_index,seed,operator_type,operator_name,selection_count,selection_share,improvement_count,improvement_probability,acceptance_rate,mean_delta,mean_improving_delta
ALNS-A,Example3,3,1,repair,repair_chuffed_fast,14,0.4375,3,0.21428571428571427,0.2857142857142857,20.307692307692307,-45.333333333333336
ALNS-A,Example3,3,1,destroy,destroy_worst_workers_30pct,6,0.1875,1,0.16666666666666666,0.16666666666666666,22.0,-86.0
ALNS-A,Example3,3,1,destroy,destroy_streak_around_worst_worker,2,0.0625,0,0.0,0.0,44.0,nan
ALNS-A,Example3,3,1,destroy,destroy_random_window_20pct,13,0.40625,1,0.07692307692307693,0.15384615384615385,21.53846153846154,-3.0
ALNS-A,Example3,3,1,repair,repair_gecode_fast,8,0.25,1,0.125,0.375,15.75,-3.0
ALNS-A,Example3,3,1,destroy,destroy_all_forbidden_sequences,2,0.0625,0,0.0,0.5,0.5,nan
ALNS-A,Example3,3,1,repair,repair_chuffed_long,8,0.25,1,0.125,0.25,12.125,-10.0
ALNS-A,Example3,3,1,destroy,destroy_random_workers_20pct,3,0.09375,0,0.0,0.3333333333333333,15.333333333333334,nan
ALNS-A,Example3,3,1,destroy,destroy_worst_days_30pct,1,0.03125,0,0.0,0.0,75.0,nan
ALNS-A,Example3,3,1,repair,repair_gecode_long,2,0.0625,1,0.5,0.5,33.5,-8.0
ALNS-A,Example3,3,2,destroy,destroy_worst_workers_10pct,1,0.03225806451612903,0,0.0,1.0,nan,nan
ALNS-A,Example3,3,2,repair,repair_gecode_long,4,0.12903225806451613,0,0.0,0.5,23.333333333333332,nan
ALNS-A,Example3,3,2,destroy,destroy_max_border_off,2,0.06451612903225806,1,0.5,1.0,-0.5,-1.0
ALNS-A,Example3,3,2,repair,repair_chuffed_fast,9,0.2903225806451613,1,0.1111111111111111,0.3333333333333333,20.88888888888889,-1.0
ALNS-A,Example3,3,2,destroy,destroy_all_forbidden_sequences,3,0.0967741935483871,1,0.3333333333333333,1.0,-41.333333333333336,-124.0
ALNS-A,Example3,3,2,repair,repair_gecode_fast,15,0.4838709677419355,6,0.4,0.5333333333333333,2.2666666666666666,-24.666666666666668
ALNS-A,Example3,3,2,destroy,destroy_random_window_20pct,13,0.41935483870967744,4,0.3076923076923077,0.46153846153846156,13.461538461538462,-2.5
ALNS-A,Example3,3,2,destroy,destroy_random_workers_20pct,5,0.16129032258064516,0,0.0,0.0,23.6,nan
ALNS-A,Example3,3,2,destroy,destroy_streak_around_worst_worker,2,0.06451612903225806,1,0.5,0.5,18.0,-14.0
ALNS-A,Example3,3,2,destroy,destroy_worst_workers_30pct,3,0.0967741935483871,0,0.0,0.0,42.333333333333336,nan
ALNS-A,Example3,3,2,repair,repair_chuffed_long,1,0.03225806451612903,0,0.0,0.0,39.0,nan
ALNS-A,Example3,3,2,destroy,destroy_exploration,2,0.06451612903225806,0,0.0,0.5,23.0,nan
ALNS-A,Example3,3,2,repair,repair_exploration,2,0.06451612903225806,0,0.0,0.5,23.0,nan
ALNS-A,Example4,4,0,destroy,destroy_streak_around_worst_worker,4,0.1,0,0.0,0.25,27.333333333333332,nan
ALNS-A,Example4,4,0,repair,repair_chuffed_long,10,0.25,1,0.1,0.8,7.222222222222222,-2.0
ALNS-A,Example4,4,0,destroy,destroy_random_window_20pct,15,0.375,7,0.4666666666666667,0.8,3.1333333333333333,-1.7142857142857142
ALNS-A,Example4,4,0,repair,repair_gecode_fast,8,0.2,1,0.125,0.625,7.0,-2.0
ALNS-A,Example4,4,0,destroy,destroy_all_forbidden_sequences,3,0.075,1,0.3333333333333333,1.0,-2.0,-6.0
ALNS-A,Example4,4,0,repair,repair_gecode_long,5,0.125,2,0.4,0.6,7.4,-4.0
ALNS-A,Example4,4,0,repair,repair_chuffed_fast,15,0.375,6,0.4,0.5333333333333333,8.6,-3.5
ALNS-A,Example4,4,0,destroy,destroy_random_workers_20pct,4,0.1,0,0.0,0.75,4.25,nan
ALNS-A,Example4,4,0,destroy,destroy_max_border_off,2,0.05,2,1.0,1.0,-7.5,-7.5
ALNS-A,Example4,4,0,destroy,destroy_worst_workers_10pct,1,0.025,0,0.0,1.0,0.0,nan
ALNS-A,Example4,4,0,destroy,destroy_worst_days_30pct,2,0.05,0,0.0,0.0,45.0,nan
ALNS-A,Example4,4,0,destroy,destroy_random_days_20pct,1,0.025,0,0.0,0.0,25.0,nan
ALNS-A,Example4,4,0,destroy,destroy_worst_workers_30pct,6,0.15,0,0.0,0.3333333333333333,7.833333333333333,nan
ALNS-A,Example4,4,0,destroy,destroy_exploration,2,0.05,1,0.5,1.0,-1.0,-2.0
ALNS-A,Example4,4,0,repair,repair_exploration,2,0.05,1,0.5,1.0,-1.0,-2.0
